name,Longitude,Latitude
Afghanistan,66.00473366,33.83523073
Aland,19.95328768,60.21488688
Albania,20.04983396,41.14244989
Algeria,2.61732301,28.15893849
Andorra,1.56054378,42.54229102
Angola,17.53736768,-12.29336054
Anguilla,-63.06498927,18.2239595
Antarctica,19.92108951,-80.50857913
Antigua and Barbuda,-61.79469343,17.2774996
Argentina,-65.17980692,-35.3813488
Armenia,44.92993276,40.28952569
Aruba,-69.98267711,12.52088038
Ashmore and Cartier Is.,123.5838379,-12.42993164
Australia,134.4910001,-25.73288704
Austria,14.1264761,47.58549439
Azerbaijan,47.54599879,40.28827235
Bahamas,-76.62843038,24.29036702
Bahrain,50.54196932,26.04205135
Bangladesh,90.23812743,23.86731158
Barbados,-59.559797,13.18145428
Belarus,28.03209307,53.53131377
Belgium,4.64065114,50.63981576
Belize,-88.71010486,17.20027509
Benin,2.32785254,9.6417597
Bermuda,-64.7545589,32.31367802
Bhutan,90.40188155,27.41106589
Bolivia (Plurinational State of),-64.68538645,-16.70814787
Bosnia and Herzegovina,17.76876733,44.17450125
Botswana,23.79853368,-22.18403213
Br. Indian Ocean Ter.,72.44541229,-7.33059751
Brazil,-53.09783113,-10.78777702
British Virgin Islands,-64.47146992,18.52585755
Brunei Darussalam,114.7220304,4.51968958
Bulgaria,25.21552909,42.76890318
Burkina Faso,-1.75456601,12.26953846
Burundi,29.87512156,-3.35939666
CÃ´te d'Ivoire,-5.5692157,7.6284262
Cambodia,104.9069433,12.72004786
Cameroon,12.73964156,5.69109849
Canada,-98.30777028,61.36206324
Cabo Verde,-23.9598882,15.95523324
Cayman Islands,-80.91213321,19.42896497
Central African Republic,20.46826831,6.56823297
Chad,18.64492513,15.33333758
Chile,-71.38256213,-37.73070989
China,103.8190735,36.56176546
"China, Hong Kong SAR",114.1138045,22.39827737
"China, Macao SAR",113.5093212,22.22311688
Colombia,-73.08114582,3.91383431
Comoros,43.68253968,-11.87783444
Congo,15.21965762,-0.83787463
Cook Islands,-159.7872422,-21.21927288
Costa Rica,-84.19208768,9.97634464
Croatia,16.40412899,45.08047631
Cuba,-79.01605384,21.62289528
Curaçao,-68.97119369,12.19551675
Cyprus,33.0060022,34.91667211
Czechia,15.31240163,49.73341233
Dem. People's Republic of Korea,127.1924797,40.15350311
Democratic Republic of the Congo,23.64396107,-2.87746289
Denmark,10.02800992,55.98125296
Djibouti,42.5606754,11.74871806
Dominica,-61.357726,15.4394702
Dominican Republic,-70.50568896,18.89433082
Ecuador,-78.75201922,-1.42381612
