Country,Type,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Isle of Man,Country/Area,84.379,84.856,84.889,84.534,83.985,83.488,83.232,83.296,83.61,84.073,84.589,85.032
Latvia,Country/Area,2144.784,2118.855,2093.606,2069.018,2044.95,2021.22,1997.675,1974.265,1951.097,1928.461,1906.74,1886.202
Lithuania,Country/Area,3167.27,3123.825,3083.402,3045.561,3008.938,2971.498,2931.872,2889.555,2845.419,2801.27,2759.631,2722.291
Norway,Country/Area,4826.847,4885.878,4948.335,5013.716,5079.46,5142.269,5199.827,5250.95,5296.324,5337.96,5378.859,5421.242
Sweden,Country/Area,9313.085,9390.157,9466.705,9542.817,9618.016,9692.137,9764.949,9836.003,9904.895,9971.63,10036.391,10099.27
United Kingdom,Country/Area,62828.62,63459.801,64021.922,64525.3,64984.015,65423.048,65860.149,66297.944,66727.463,67141.678,67530.161,67886.004
Albania,Country/Area,2973.044,2948.029,2928.601,2914.091,2903.788,2896.307,2890.524,2886.427,2884.169,2882.735,2880.913,2877.8
Andorra,Country/Area,84.461,84.454,83.748,82.427,80.77,79.213,77.993,77.295,76.997,77.008,77.146,77.265
Bosnia and Herzegovina,Country/Area,3735.945,3705.478,3661.173,3604.972,3542.598,3482.106,3429.362,3386.263,3351.534,3323.929,3300.998,3280.815
Croatia,Country/Area,4341.261,4328.163,4313.098,4295.869,4276.593,4255.518,4232.874,4208.611,4182.847,4156.407,4130.299,4105.268
Gibraltar,Country/Area,33.562,33.585,33.608,33.653,33.694,33.726,33.742,33.738,33.723,33.715,33.706,33.691
Greece,Country/Area,10959.268,10887.64,10829.074,10781.119,10740.501,10701.46,10659.737,10615.183,10569.449,10522.244,10473.452,10423.056
Holy See,Country/Area,0.787,0.783,0.786,0.786,0.786,0.785,0.79,0.791,0.798,0.81,0.815,0.809
Italy,Country/Area,59105.622,59325.232,59589.07,59879.469,60166.828,60409.622,60578.489,60663.068,60673.694,60627.291,60550.092,60461.828
Malta,Country/Area,411.559,414.257,417.72,421.809,426.144,430.19,433.559,436.099,437.935,439.255,440.377,441.539
Montenegro,Country/Area,622.933,624.279,625.271,625.931,626.342,626.65,626.957,627.271,627.563,627.803,627.988,628.062
North Macedonia,Country/Area,2069.03,2070.737,2072.484,2074.275,2076.065,2077.78,2079.335,2080.746,2081.996,2082.957,2083.458,2083.38
Portugal,Country/Area,10604.066,10596.055,10569.388,10526.308,10473.025,10418.224,10368.346,10325.54,10288.527,10256.192,10226.178,10196.707
San Marino,Country/Area,30.825,31.221,31.655,32.103,32.554,32.941,33.27,33.503,33.671,33.784,33.864,33.938
Serbia,Country/Area,9023.354,8991.258,8963.761,8940.116,8918.892,8898.284,8876.777,8853.963,8829.623,8802.741,8772.228,8737.37
Slovenia,Country/Area,2033.807,2043.336,2051.278,2057.826,2063.12,2067.488,2071.199,2074.205,2076.395,2077.836,2078.654,2078.932
Spain,Country/Area,46583.566,46931.011,47084.242,47063.059,46930.554,46777.927,46671.919,46634.131,46647.425,46692.863,46736.782,46754.783
Austria,Country/Area,8372.658,8409.945,8453.501,8502.23,8556.191,8615.205,8678.667,8747.306,8819.902,8891.383,8955.108,9006.4
Belgium,Country/Area,10859.934,10938.735,11013.86,11085.355,11154.008,11221.225,11287.931,11354.407,11419.752,11482.18,11539.326,11589.616
France,Country/Area,62542.883,62879.535,63222.229,63564.224,63893.521,64193.55,64453.194,64667.59,64842.513,64990.512,65129.731,65273.512
Germany,Country/Area,80899.961,80827.001,80855.629,80972.629,81174.373,81450.37,81787.411,82193.77,82658.409,83124.413,83517.046,83783.945
Liechtenstein,Country/Area,35.723,35.996,36.299,36.615,36.94,37.219,37.465,37.655,37.805,37.918,38.02,38.137
Luxembourg,Country/Area,496.536,507.89,519.312,530.855,542.554,554.512,566.741,579.266,591.914,604.244,615.73,625.976
Monaco,Country/Area,35.223,35.609,36.025,36.459,36.899,37.32,37.723,38.07,38.392,38.682,38.967,39.244
Netherlands,Country/Area,16626.379,16682.927,16738.191,16791.85,16843.512,16892.517,16938.492,16981.285,17021.343,17059.56,17097.123,17134.873
Switzerland,Country/Area,7713.902,7808.674,7906.988,8008.006,8108.876,8206.003,8296.775,8379.915,8455.797,8525.614,8591.361,8654.618
Bermuda,Country/Area,65.675,65.388,65.076,64.737,64.381,64.038,63.695,63.36,63.04,62.763,62.508,62.273
Canada,Country/Area,33746.093,34147.566,34539.156,34922.031,35296.535,35664.338,36026.668,36382.942,36732.091,37074.558,37411.038,37742.157
Greenland,Country/Area,56.729,56.638,56.555,56.477,56.412,56.383,56.378,56.408,56.473,56.565,56.66,56.772
Saint Pierre and Miquelon,Country/Area,6.343,6.361,6.323,6.251,6.168,6.073,5.992,5.933,5.885,5.845,5.821,5.795
United States of America,Country/Area,306307.565,309011.469,311584.051,314043.885,316400.539,318673.422,320878.312,323015.992,325084.758,327096.263,329064.917,331002.647
