Pandemic,Country,year,Cases,Deaths,lon,lat
h1n1,Netherlands,2009,1171,0.0,-68.97119369,12.19551675
h1n1,Netherlands,2009,1171,0.0,5.28144793,52.1007899
h1n1,Netherlands,2009,1171,0.0,-63.05713363,18.05081728
h1n1,"Netherlands, Curacao, OT",2009,1,0.0,,
h1n1,New Zealand,2009,4957,3.0,-159.78724218,-21.21927288
h1n1,New Zealand,2009,4957,3.0,-169.86994682,-19.04945708
h1n1,New Zealand,2009,4957,3.0,171.48492347,-41.81113557
h1n1,Nicaragua,2009,2345,0.0,-85.0305297,12.84709429
h1n1,Norway,2009,330,0.0,15.34834656,68.75015572
h1n1,Oman,2009,25,0.0,56.09166155,20.60515333
h1n1,Palau,2009,2,0.0,134.40807966,7.28742784
h1n1,Panama,2009,5176,0.0,-80.11915156,8.51750797
h1n1,Papua New Guinea,2009,8,0.0,145.20744752,-6.46416646
h1n1,Paraguay,2009,738,1.0,-58.40013703,-23.22823913
h1n1,Peru,2009,3856,0.0,-74.38242685,-9.15280381
h1n1,Philippines,2009,7269,6.0,122.88393253,11.77536778
h1n1,Poland,2009,185,0.0,19.39012835,52.12759564
h1n1,Portugal,2009,145,0.0,-8.50104361,39.59550671
h1n1,Qatar,2009,87,0.0,51.18479632,25.30601188
h1n1,Romania,2009,291,0.0,24.97293039,45.85243127
h1n1,Russia,2009,59,0.0,96.68656112,61.98052209
h1n1,Saint Lucia,2009,3,0.0,-60.96969923,13.89479481
h1n1,Samoa,2009,9,0.0,-172.16485064,-13.75324346
h1n1,Saudi Arabia,2009,536,0.0,44.53686271,24.12245841
h1n1,Serbia,2009,49,0.0,,
h1n1,Singapore,2009,4157,0.0,103.81725592,1.35876087
h1n1,Slovakia,2009,101,0.0,19.47905218,48.70547528
h1n1,Slovenia,2009,32,0.0,14.80444238,46.11554772
h1n1,South Africa,2009,36,0.0,25.08390093,-29.00034095
h1n1,Spain,2009,8614,3.0,-3.64755047,40.24448698
h1n1,Sri Lanka,2009,78,0.0,80.70108238,7.61266509
h1n1,Suriname,2009,88,0.0,-55.9123457,4.13055413
h1n1,Sweden,2009,678,0.0,16.74558049,62.77966519
h1n1,Switzerland,2009,555,0.0,8.20867471,46.79785878
