Pandemic,Country,Year,Cases,Deaths,Lon,Lat,population
Swineflu-W,Singapore,2009,"1,217",21,103.81725592,1.35876087,4966614000.000001
Swineflu-W,Estonia,2009,738,21,25.54248537,58.67192972,1336140000.0
Swineflu-W,Belgium,2009,"76,973 ",19,4.64065114,50.63981576,10859934000.0
Swineflu-W,Jordan,2009,"3,033",19,36.77136104,31.24579091,6893258000.000001
Swineflu-W,Slovenia,2009,990,19,14.80444238,46.11554772,2033807000.0
Swineflu-W,Switzerland,2009,"11,221",18,8.20867471,46.79785878,7713901999.999999
Swineflu-W,Honduras,2009,560,18,-86.6151661,14.82688165,8150780000.0
Swineflu-W,Afghanistan,2009,853,17,66.00473366,33.83523073,28394806000.0
Swineflu-W,Bosnia and Herzegovina,2009,714,13,17.76876733,44.17450125,3735945000.0
Swineflu-W,Panama,2009,813,12,-80.11915156,8.51750797,3579215000.0
Swineflu-W,Albania,2009,426,12,20.04983396,41.14244989,2973044000.0000005
Swineflu-W,Nicaragua,2009,"2,172",11,-85.0305297,12.84709429,5745538000.0
Swineflu-W,Indonesia,2009,"1,098",10,117.24011366,-2.21505456,238620553999.99997
Swineflu-W,Qatar,2009,550,10,51.18479632,25.30601188,1654944000.0
Swineflu-W,Cyprus,2009,297,10,33.0060022,34.91667211,1098089000.0
Swineflu-W,Dem. People's Republic of Korea,2009,28,10,127.19247973,40.15350311,24428340000.0
Swineflu-W,Bahrain,2009,"1,325",8,50.54196932,26.04205135,1185075000.0
Swineflu-W,Mauritius,2009,69,8,57.57120551,-20.27768704,1243996000.0
Swineflu-W,Bangladesh,2009,"1,015",7,90.23812743,23.86731158,145924795000.0
Swineflu-W,Jamaica,2009,191,7,-77.31482593,18.15694878,2795839000.0000005
Swineflu-W,Montenegro,2009,119,7,19.23883939,42.78890259,622933000.0
Swineflu-W,Cambodia,2009,531,6,104.90694325,12.72004786,14093605000.0
Swineflu-W,United Arab Emirates,2009,125,6,54.300167099999996,23.90528188,7917368000.0
Swineflu-W,Lebanon,2009,"1,838",5,35.88016072,33.92306631,4813026000.0
Swineflu-W,Malta,2009,718,5,14.40523316,35.92149632,411559000.0
Swineflu-W,Trinidad and Tobago,2009,211,5,-61.26567923,10.45733408,1320921000.0
Swineflu-W,Sudan,2009,145,5,29.94046812,15.99035669,33783779000.0
Swineflu-W,Bahamas,2009,29,4,-76.62843038,24.29036702,349600000.0
Swineflu-W,Madagascar,2009,877,3,46.70473674,-19.37189587,20569115000.0
Swineflu-W,Ghana,2009,676,3,-1.21676566,7.95345644,24170943000.0
Swineflu-W,Luxembourg,2009,333,3,6.07182201,49.76725361,496536000.0
Swineflu-W,Nepal,2009,172,3,83.91582640000001,28.24891365,26883531000.000004
Swineflu-W,Barbados,2009,154,3,-59.559796999999996,13.18145428,281107000.0
Swineflu-W,Armenia,2009,119,3,44.92993276,40.28952569,2888094000.0
Swineflu-W,Iceland,2009,676 ,2,-18.57396167,64.99575386,316057000.0
Swineflu-W,Brunei Darussalam,2009,971,2,114.72203035,4.51968958,383902000.0
Swineflu-W,Samoa,2009,138,2,-172.16485064,-13.75324346,184553000.0
Swineflu-W,Suriname,2009,110,2,-55.9123457,4.13055413,523113000.00000006
Swineflu-W,Mozambique,2009,57,2,35.53367543,-17.27381643,22894717999.999996
Swineflu-W,Nigeria,2009,11,2,8.08943895,9.59411452,154324939000.0
Swineflu-W,United Republic of Tanzania,2009,770,1,34.81309981,-6.27565408,43073830000.0
Swineflu-W,Libya,2009,764,1,18.00866169,27.03094495,6133986999.999999
Swineflu-W,Lao People's Democratic Republic,2009,242,1,103.73772412,18.50217433,6148621000.0
Swineflu-W,Cayman Islands,2009,121,1,-80.91213321,19.42896497,55321000.00000001
Swineflu-W,Marshall Islands,2009,115,1,170.33976122,7.00376358,56255000.0
Swineflu-W,Cook Islands,2009,106,1,-159.78724218,-21.21927288,18602000.0
Swineflu-W,Namibia,2009,75,1,17.20963567,-22.13032568,2081038999.9999998
Swineflu-W,Maldives,2009,35,1,73.45713004,3.7287092000000004,353390999.99999994
Swineflu-W,Bermuda,2009,25,1,-64.7545589,32.31367802,65675000.0
Swineflu-W,Tonga,2009,20,1,-174.80987341,-20.42843174,103897000.0
Swineflu-W,Falkland Islands (Malvinas),2009,7,1,-59.35238956,-51.74483954,2921000.0000000005
Swineflu-W,Solomon Islands,2009,4,1,159.63287668,-8.92178022,515182000.0
Swineflu-W,Zimbabwe,2009,"1,318",0,29.8514412,-19.00420419,12526964000.0
Swineflu-W,Zambia,2009,726,0,27.77475946,-13.45824152,13215142000.0
Swineflu-W,Rwanda,2009,482,0,29.91988515,-1.99033832,9782770000.0
Swineflu-W,Kenya,2009,417,0,37.79593973,0.59988022,40901797999.99999
Swineflu-W,Senegal,2009,325,0,-14.4734924,14.36624173,12335091999.999998
Swineflu-W,Uganda,2009,263,0,32.36907971,1.27469299,31411096000.0
Swineflu-W,Fiji,2009,234,0,165.45195432,-17.42858032,853636000.0000001
Swineflu-W,Democratic Republic of the Congo,2009,222,0,23.64396107,-2.87746289,62448572000.0
Swineflu-W,Myanmar,2009,137,0,96.48843321,21.18566599,50250365999.99999
Swineflu-W,Cabo Verde,2009,118,0,-23.959888199999998,15.95523324,486667000.0
Swineflu-W,Bhutan,2009,91,0,90.40188155,27.41106589,678329000.0
Swineflu-W,Haiti,2009,91,0,-72.68527509,18.93502563,9798046000.0
Swineflu-W,Micronesia (Fed. States of),2009,82,0,153.23943792,7.45246814,102971000.0
Swineflu-W,Antigua and Barbuda,2009,75,0,-61.79469343,17.277499600000002,86743000.0
Swineflu-W,Isle of Man,2009,75,0,-4.53873952,54.22418911,84378999.99999999
Swineflu-W,Lesotho,2009,65,0,28.22723131,-29.58003188,1990135000.0
Swineflu-W,Kyrgyzstan,2009,61,0,74.54165513,41.46221943,5334708000.000001
Swineflu-W,Belize,2009,49,0,-88.71010486,17.20027509,314655000.0
Swineflu-W,Niger,2009,49,0,9.38545882,17.41912493,15843131000.000002
Swineflu-W,Palau,2009,47,0,134.40807966,7.28742784,18290000.0
Swineflu-W,Faroe Islands,2009,44,0,-6.88095423,62.05385403,47813999.99999999
Swineflu-W,Turks and Caicos Islands,2009,44,0,-71.97387881,21.83047572,31933000.000000004
Swineflu-W,Angola,2009,37,0,17.53736768,-12.29336054,22514275000.0
Swineflu-W,Dominica,2009,36,0,-61.357726,15.439470199999999,70848000.0
Swineflu-W,Monaco,2009,36,0,7.40627677,43.75274627,35223000.0
Swineflu-W,Seychelles,2009,33,0,55.47603279,-4.66099094,90788000.0
Swineflu-W,Botswana,2009,31,0,23.79853368,-22.18403213,1953495000.0
Swineflu-W,Mali,2009,29,0,-3.54269065,17.34581581,14581427000.0
Swineflu-W,Guyana,2009,27,0,-58.98202459,4.79378034,747718000.0000001
