Country,year,Cases,Deaths,lon,lat
Spain,2009,8614,3,-3.64755047,40.24448698
Sri Lanka,2009,78,0,80.70108238,7.61266509
Suriname,2009,88,0,-55.9123457,4.13055413
Sweden,2009,678,0,16.74558049,62.77966519
Switzerland,2009,555,0,8.20867471,46.79785878
Syria,2009,1,0,38.50788204,35.02547389
Thailand,2009,8726,13,101.0028813,15.11815794
The former Yugoslav Republic of Macedonia,2009,2,0,,
Trinidad and Tobago,2009,330,0,-61.26567923,10.45733408
Tunisia,2009,17,0,9.55288359,34.11956246
Turkey,2009,323,0,35.16895346,39.0616029
Uganda,2009,2,0,32.36907971,1.27469299
Ukraine,2009,13,0,31.38326469,48.99656673
United Arab Emirates,2009,51,0,54.3001671,23.90528188
United Kingdom,2009,43708,15,-63.06498927,18.2239595
United Kingdom,2009,43708,15,-64.7545589,32.31367802
United Kingdom,2009,43708,15,-80.91213321,19.42896497
United Kingdom,2009,43708,15,-59.35238956,-51.74483954
United Kingdom,2009,43708,15,-2.86563164,54.12387156
United Kingdom,2009,43708,15,-2.57239064,49.46809761
United Kingdom,2009,43708,15,-4.53873952,54.22418911
United Kingdom,2009,43708,15,72.44541229,-7.33059751
United Kingdom,2009,43708,15,-2.12689938,49.21837377
United Kingdom,2009,43708,15,-62.18518546,16.73941406
United Kingdom,2009,43708,15,-128.317042,-24.36500535
United Kingdom,2009,43708,15,-36.43318388,-54.46488248
United Kingdom,2009,43708,15,-9.54779416,-12.40355951
United Kingdom,2009,43708,15,-71.97387881,21.83047572
United Kingdom,2009,43708,15,-64.47146992,18.52585755
"United Kingdom, Isle of Man, Crown Dependency",2009,1,0,,
"United Kingdom, Jersey, Crown Dependency",2009,1,0,,
United States of America,2009,340804,1150,-170.7180258,-14.30445997
United States of America,2009,340804,1150,144.7679102,13.44165626
United States of America,2009,340804,1150,145.6196965,15.82927563
United States of America,2009,340804,1150,-66.47307604,18.22813055
United States of America,2009,340804,1150,-112.4616737,45.6795472
United States of America,2009,340804,1150,-64.80301538,17.95500624
United States of America*,2009,17855,44,,
Uruguay,2009,1458,6,-56.01807053,-32.79951534
Vanuatu,2009,11,0,167.6864464,-16.22640909
Venezuela,2009,1327,0,-66.18184123,7.12422421
Viet Nam,2009,822,0,,
West Bank and Gaza Strip,2009,146,0,,
Yemen,2009,50,0,47.58676189,15.90928005
"    France, New Caledonia, FOC",2009,12,0,,
"    French Polynesia, FOC",2009,11,0,,
"    Martinique, FOC",2009,12,0,,
"     French Polynesia, FOC",2009,4,0,,
"     Guadaloupe, FOC",2009,2,0,,
"     Guernsey, Crown Dependency",2009,17,0,,
"     Isle of Man, Crown Dependency",2009,8,0,,
"     Jersey, Crown Dependency",2009,51,0,,
"     Martinique, FOC",2009,3,0,,
"     Netherlands Antilles, Curaçao",2009,23,0,,
"     Netherlands Antilles, Curaçao *",2009,12,0,,
"     Netherlands Antilles, Curaçao **",2009,3,0,,
"     Netherlands Antilles, Sint Maarten",2009,26,0,,
"     Netherlands, Aruba",2009,10,0,,
"     New Caledonia, FOC",2009,12,0,,
     Puerto Rico,2009,18,0,,
"     Saint Martin, FOC",2009,1,0,,
     Virgin Islands,2009,1,0,,
