Pandemic,Country,Year,Cases,Deaths,Lon,Lat,population
Swineflu,Myanmar,2009,3,0.0,96.48843321,21.18566599,50250365.99999999
Swineflu,Nepal,2009,16,0.0,83.91582640000001,28.24891365,26883531.000000004
Swineflu,Netherlands,2009,1171,0.0,5.28144793,52.100789899999995,16626379.0
Swineflu,Curaçao,2009,38,0.0,-68.97119369,12.19551675,145364.0
Swineflu,Saint Martin (French part),2009,26,0.0,-63.05972851,18.08888611,37380.0
Swineflu,Aruba,2009,10,0.0,-69.98267711,12.52088038,101452.00000000001
Swineflu,Curaçao,2009,1,0.0,-68.97119369,12.19551675,145364.0
Swineflu,New Zealand,2009,4957,3.0,171.48492347,-41.81113557,4323338.0
Swineflu,Nicaragua,2009,2345,0.0,-85.0305297,12.84709429,5745538.0
Swineflu,Norway,2009,330,0.0,15.34834656,68.75015572,4826847.0
Swineflu,Oman,2009,25,0.0,56.09166155,20.60515333,2876185.9999999995
Swineflu,Palau,2009,2,0.0,134.40807966,7.28742784,18290.0
Swineflu,Panama,2009,5176,0.0,-80.11915156,8.51750797,3579215.0
Swineflu,Papua New Guinea,2009,8,0.0,145.20744752,-6.46416646,7144774.0
Swineflu,Paraguay,2009,738,1.0,-58.40013703,-23.22823913,6163970.0
Swineflu,Peru,2009,3856,0.0,-74.38242685,-9.15280381,28792662.999999996
Swineflu,Philippines,2009,7269,6.0,122.88393253,11.77536778,92414161.0
Swineflu,Poland,2009,185,0.0,19.39012835,52.12759564,38351924.0
Swineflu,Portugal,2009,145,0.0,-8.50104361,39.59550671,10604066.0
Swineflu,Puerto Rico,2009,18,0.0,-66.47307604,18.22813055,3596532.0
Swineflu,Qatar,2009,87,0.0,51.18479632,25.30601188,1654944.0
Swineflu,Romania,2009,291,0.0,24.97293039,45.85243127,20637995.0
Swineflu,Russian Federation,2009,59,0.0,96.68656112,61.98052209,143326904.0
Swineflu,Saint Lucia,2009,3,0.0,-60.96969923,13.89479481,172222.99999999997
Swineflu,Samoa,2009,9,0.0,-172.16485064,-13.75324346,184553.0
Swineflu,Saudi Arabia,2009,536,0.0,44.53686271,24.12245841,26630303.0
Swineflu,Serbia,2009,49,0.0,20.78958334,44.2215032,9023354.0
Swineflu,Singapore,2009,4157,0.0,103.81725592,1.35876087,4966614.000000001
Swineflu,Slovakia,2009,101,0.0,19.47905218,48.70547528,5401149.0
Swineflu,Slovenia,2009,32,0.0,14.80444238,46.11554772,2033807.0
Swineflu,South Africa,2009,36,0.0,25.08390093,-29.00034095,50477013.0
Swineflu,Spain,2009,8614,3.0,-3.64755047,40.24448698,46583566.0
Swineflu,Sri Lanka,2009,78,0.0,80.70108238,7.61266509,20123508.0
Swineflu,Suriname,2009,88,0.0,-55.9123457,4.13055413,523113.00000000006
Swineflu,Sweden,2009,678,0.0,16.74558049,62.77966519,9313085.0
Swineflu,Switzerland,2009,555,0.0,8.20867471,46.79785878,7713901.999999999
Swineflu,Syrian Arab Republic,2009,1,0.0,38.50788204,35.02547389,21205873.0
Swineflu,Thailand,2009,8726,13.0,101.0028813,15.11815794,66866834.0
Swineflu,Togo,2009,330,0.0,0.96232845,8.52531356,6250840.0
Swineflu,Tunisia,2009,17,0.0,9.55288359,34.11956246,10525691.0
Swineflu,Turkey,2009,323,0.0,35.16895346,39.0616029,71321406.0
Swineflu,Uganda,2009,2,0.0,32.36907971,1.27469299,31411096.0
Swineflu,Ukraine,2009,13,0.0,31.38326469,48.99656673,45970942.0
Swineflu,United Arab Emirates,2009,51,0.0,54.300167099999996,23.90528188,7917368.0
Swineflu,United Kingdom,2009,43708,15.0,-2.86563164,54.12387156,62828620.0
Swineflu,Isle of Man,2009,1,0.0,-4.53873952,54.22418911,84378.99999999999
Swineflu,United States of America,2009,358659,1194.0,-112.46167369999999,45.6795472,306307565.0
Swineflu,Uruguay,2009,1458,6.0,-56.01807053,-32.79951534,3349676.0
Swineflu,Vanuatu,2009,11,0.0,167.68644636,-16.22640909,230244.00000000003
Swineflu,Venezuela (Bolivarian Republic of),2009,1327,0.0,-66.18184123,7.12422421,28031010.0
Swineflu,Viet Nam,2009,822,0.0,106.29914698,16.646016699999997,87092250.0
Swineflu,United States Virgin Islands,2009,1,0.0,-64.80301538,17.95500624,106416.0
Swineflu,Israel,2009,146,0.0,35.00444693,31.46110101,7190036.999999999
Swineflu,Yemen,2009,50,0.0,47.58676189,15.90928005,22516464.0
