,Country,Cases,Deaths,Date,Lon,Lat,population,Year,Pandemic
0,Afghanistan,170,4,1585526400000.0,66.00473366,33.83523073,35383028.0,2020,Covid19
1,Albania,223,11,1585526400000.0,20.04983396,41.14244989,2886427.0,2020,Covid19
2,Algeria,584,35,1585526400000.0,2.61732301,28.15893849,40551398.0,2020,Covid19
3,Andorra,370,8,1585526400000.0,1.56054378,42.54229102,77295.0,2020,Covid19
4,Angola,7,2,1585526400000.0,17.53736768,-12.29336054,28842482.000000004,2020,Covid19
5,Antigua and Barb.,7,0,1585526400000.0,-61.79469343,17.2774996,1000.0,2020,Covid19
6,Argentina,820,23,1585526400000.0,-65.17980692,-35.3813488,43508459.0,2020,Covid19
7,Armenia,482,3,1585526400000.0,44.92993276,40.28952569,2936147.0,2020,Covid19
8,Australia,4361,17,1585526400000.0,134.49100008,-25.73288704,24262710.0,2020,Covid19
9,Austria,9618,108,1585526400000.0,14.1264761,47.58549439,8747306.0,2020,Covid19
10,Azerbaijan,273,4,1585526400000.0,47.54599879,40.28827235,9736041.0,2020,Covid19
11,Bahamas,14,0,1585526400000.0,-76.62843038,24.29036702,377923.0,2020,Covid19
12,Bahrain,515,4,1585526400000.0,50.54196932,26.04205135,1425793.0,2020,Covid19
13,Bangladesh,49,5,1585526400000.0,90.23812743,23.86731158,157977150.99999997,2020,Covid19
14,Barbados,33,0,1585526400000.0,-59.559797,13.18145428,285798.0,2020,Covid19
15,Belarus,152,0,1585526400000.0,28.03209307,53.53131377,9445638.0,2020,Covid19
16,Belgium,11899,513,1585526400000.0,4.64065114,50.63981576,11354407.0,2020,Covid19
17,Belize,3,0,1585526400000.0,-88.71010486,17.20027509,368399.0,2020,Covid19
18,Benin,6,0,1585526400000.0,2.32785254,9.6417597,10872072.0,2020,Covid19
19,Bhutan,4,0,1585526400000.0,90.40188155,27.41106589,736706.0,2020,Covid19
20,Bolivia,97,4,1585526400000.0,-64.68538645,-16.70814787,1000.0,2020,Covid19
21,Bosnia and Herz.,368,10,1585526400000.0,17.76876733,44.17450125,1000.0,2020,Covid19
22,Botswana,3,0,1585526400000.0,23.79853368,-22.18403213,2159925.0,2020,Covid19
23,Brazil,4579,159,1585526400000.0,-53.09783113,-10.78777702,206163056.0,2020,Covid19
24,Brunei,127,1,1585526400000.0,114.72203035,4.51968958,1000.0,2020,Covid19
25,Bulgaria,359,8,1585526400000.0,25.21552909,42.76890318,7151948.0,2020,Covid19
26,Burkina Faso,246,12,1585526400000.0,-1.75456601,12.26953846,18646350.0,2020,Covid19
27,Cambodia,107,0,1585526400000.0,104.90694325,12.72004786,15766290.0,2020,Covid19
28,Cameroon,139,6,1585526400000.0,12.73964156,5.69109849,23926549.0,2020,Covid19
29,Canada,7398,80,1585526400000.0,-98.30777028,61.36206324,36382942.0,2020,Covid19
30,Cape Verde,6,1,1585526400000.0,-23.9598882,15.95523324,1000.0,2020,Covid19
31,Central African Rep.,3,0,1585526400000.0,20.46826831,6.56823297,1000.0,2020,Covid19
32,Chad,5,0,1585526400000.0,18.64492513,15.33333758,14561658.000000002,2020,Covid19
33,Chile,2449,8,1585526400000.0,-71.38256213,-37.73070989,18209072.0,2020,Covid19
34,China,82192,3314,1585526400000.0,103.81907349,36.56176546,1414049353.0,2020,Covid19
35,Colombia,798,12,1585526400000.0,-73.08114582,3.91383431,48175047.99999999,2020,Covid19
36,Congo,100,8,1585526400000.0,15.21965762,-0.83787463,4980996.0,2020,Covid19
37,Costa Rica,330,2,1585526400000.0,-84.19208768,9.97634464,4899335.999999999,2020,Covid19
38,Croatia,790,6,1585526400000.0,16.40412899,45.08047631,4208611.0,2020,Covid19
39,Cuba,170,4,1585526400000.0,-79.01605384,21.62289528,11335108.0,2020,Covid19
40,Cyprus,230,7,1585526400000.0,33.0060022,34.91667211,1170188.9999999998,2020,Covid19
41,Czech Rep.,3001,23,1585526400000.0,15.31240163,49.73341233,1000.0,2020,Covid19
42,C̫te d'Ivoire,168,1,1585526400000.0,-5.5692157,7.6284262,1000.0,2020,Covid19
43,Denmark,2755,77,1585526400000.0,10.02800992,55.98125296,5711346.0,2020,Covid19
44,Djibouti,18,0,1585526400000.0,42.5606754,11.74871806,929117.0,2020,Covid19
45,Dominica,11,0,1585526400000.0,-61.357726,15.4394702,71307.0,2020,Covid19
46,Dominican Rep.,901,42,1585526400000.0,-70.50568896,18.89433082,1000.0,2020,Covid19
47,Ecuador,1962,60,1585526400000.0,-78.75201922,-1.42381612,16491116.000000002,2020,Covid19
48,Egypt,656,41,1585526400000.0,29.86190099,26.49593311,94447071.0,2020,Covid19
49,El Salvador,30,0,1585526400000.0,-88.87164469,13.73943744,6356137.0,2020,Covid19
50,Eq. Guinea,12,0,1585526400000.0,10.34137924,1.70555135,1000.0,2020,Covid19
51,Eritrea,12,0,1585526400000.0,38.84617011,15.36186618,3376558.0,2020,Covid19
52,Estonia,715,3,1585526400000.0,25.54248537,58.67192972,1316507.0,2020,Covid19
53,Ethiopia,23,0,1585526400000.0,39.60080098,8.62278679,103603461.0,2020,Covid19
54,Fiji,5,0,1585526400000.0,165.45195432,-17.42858032,872406.0000000001,2020,Covid19
55,Finland,1352,13,1585526400000.0,26.2746656,64.49884603,5497714.0,2020,Covid19
56,France,45170,3030,1585526400000.0,-2.76172945,42.17344011,64667590.0,2020,Covid19
57,Gabon,7,1,1585526400000.0,11.7886287,-0.58660025,2007882.0,2020,Covid19
58,Gambia,4,1,1585526400000.0,-15.39601295,13.44965244,2149134.0,2020,Covid19
59,Georgia,103,0,1585526400000.0,43.50780252,42.16855755,4015457.0000000005,2020,Covid19
60,Germany,66885,645,1585526400000.0,10.38578051,51.10698181,82193770.0,2020,Covid19
61,Ghana,152,5,1585526400000.0,-1.21676566,7.95345644,28481947.0,2020,Covid19
62,Greece,1212,43,1585526400000.0,22.95555794,39.07469623,10615183.0,2020,Covid19
63,Grenada,9,0,1585526400000.0,-61.68220189,12.11725044,110263.0,2020,Covid19
64,Guatemala,36,1,1585526400000.0,-90.36482009,15.69403664,16583078.999999998,2020,Covid19
65,Guinea,22,0,1585526400000.0,-10.94066612,10.43621593,11738434.0,2020,Covid19
66,Guinea-Bissau,8,0,1585526400000.0,-14.94972445,12.04744948,1782434.0,2020,Covid19
67,Guyana,8,1,1585526400000.0,-58.98202459,4.79378034,771363.0,2020,Covid19
68,Haiti,15,0,1585526400000.0,-72.68527509,18.93502563,10839976.0,2020,Covid19
