Pandemic,Country,Year,Cases,Deaths,lon,lat
covid19,Afghanistan,2020,363,3,66.00473366,33.83523073
covid19,Albania,2020,851,26,20.04983396,41.14244989
covid19,Algeria,2020,1485,113,2.61732301,28.15893849
covid19,Andorra,2020,720,3,1.56054378,42.54229102
covid19,Angola,2020,11,0,17.53736768,-12.29336054
covid19,Antigua and Barbuda,2020,16,0,-61.79469343,17.277499600000002
covid19,Argentina,2020,1707,41,-65.17980692,-35.3813488
covid19,Armenia,2020,1370,0,44.92993276,40.28952569
covid19,Aruba,2020,19,0,-69.98267711,12.52088038
covid19,Australia,2020,11286,93,134.49100009999998,-25.73288704
covid19,Austria,2020,27808,99,14.1264761,47.58549439
covid19,Azerbaijan,2020,574,12,47.54599879,40.28827235
covid19,Bahamas,2020,26,0,-76.62843038,24.29036702
covid19,Bahrain,2020,4526,13,50.54196932,26.04205135
covid19,Bangladesh,2020,219,14,90.23812743,23.86731158
covid19,Barbados,2020,69,0,-59.559796999999996,13.18145428
covid19,Belarus,2020,709,0,28.03209307,53.53131377
covid19,Belgium,2020,25935,456,4.64065114,50.63981576
covid19,Belize,2020,2,0,-88.71010486,17.20027509
covid19,Benin,2020,23,0,2.32785254,9.6417597
covid19,Bhutan,2020,24,0,90.40188155,27.41106589
covid19,Bolivia (Plurinational State of),2020,187,0,-64.68538645,-16.70814787
covid19,Bosnia and Herzegovina,2020,849,6,17.76876733,44.17450125
covid19,Brazil,2020,9720,141,-53.09783113,-10.78777702
covid19,Brunei Darussalam,2020,848,0,114.7220304,4.51968958
covid19,Bulgaria,2020,1342,31,25.21552909,42.76890318
covid19,Burkina Faso,2020,487,17,-1.75456601,12.26953846
covid19,Cabo Verde,2020,14,1,-23.959888199999998,15.95523324
covid19,Cambodia,2020,550,0,104.9069433,12.72004786
covid19,Cameroon,2020,264,0,12.73964156,5.69109849
covid19,Canada,2020,12502,136,-98.30777028,61.36206324
covid19,Cayman Islands,2020,3,0,-80.91213321,19.42896497
covid19,Central African Republic,2020,20,0,20.46826831,6.56823297
covid19,Chad,2020,8,0,18.64492513,15.33333758
covid19,Channel Islands,2020,1,0,,
covid19,Chile,2020,4370,5,-71.38256213,-37.73070989
covid19,China,2020,3606533,122579,103.8190735,36.56176546
covid19,"China, Hong Kong SAR",2020,5646,114,114.11380449999999,22.39827737
covid19,"China, Macao SAR",2020,638,0,113.5093212,22.22311688
covid19,"China, Taiwan Province of China",2020,2582,43,120.95427279999998,23.753992800000002
covid19,Colombia,2020,1618,8,-73.08114582,3.91383431
covid19,Congo,2020,25,0,15.21965762,-0.83787463
covid19,Costa Rica,2020,1006,10,-84.19208768,9.97634464
covid19,Croatia,2020,1872,6,16.40412899,45.08047631
covid19,Cuba,2020,202,7,-79.01605384,21.62289528
covid19,Cura̤ao,2020,2,0,-68.97119369,12.19551675
covid19,Cyprus,2020,764,5,33.0060022,34.91667211
covid19,Czechia,2020,8369,5,15.31240163,49.73341233
covid19,C̫te d'Ivoire,2020,162,0,,
