Pandemic_covid19,Country,Year,Cases_covid19,Deaths_covid19,lon_covid19,lat_covid19,Pandemic_h1n1,year,Cases_h1n1,Deaths_h1n1,lon_h1n1,lat_h1n1
covid19,Cambodia,2020.0,550.0,0.0,104.90694325,12.72004786,h1n1,2009.0,32.0,0.0,104.90694325,12.72004786
covid19,Cameroon,2020.0,264.0,0.0,12.73964156,5.69109849,,,,,,
covid19,Canada,2020.0,12502.0,136.0,-98.30777028,61.36206324,h1n1,2009.0,81685.0,194.0,-98.30777028,61.36206324
covid19,Cayman Islands,2020.0,3.0,0.0,,,,,,,,
covid19,Central African Republic,2020.0,20.0,0.0,20.46826831,6.56823297,,,,,,
covid19,Chad,2020.0,8.0,0.0,18.64492513,15.33333758,,,,,,
covid19,Channel Islands,2020.0,1.0,0.0,,,,,,,,
covid19,Chile,2020.0,4370.0,5.0,-71.38256213,-37.73070989,h1n1,2009.0,53937.0,76.0,-71.38256213,-37.73070989
covid19,China,2020.0,3606533.0,122579.0,103.81907349,36.56176546,h1n1,2009.0,11687.0,0.0,103.81907349,36.56176546
covid19,China,2020.0,3606533.0,122579.0,103.81907349,36.56176546,h1n1,2009.0,11687.0,0.0,114.11380454,22.39827737
covid19,China,2020.0,3606533.0,122579.0,103.81907349,36.56176546,h1n1,2009.0,11687.0,0.0,113.50932116,22.22311688
covid19,China,2020.0,3606533.0,122579.0,114.11380454,22.39827737,h1n1,2009.0,11687.0,0.0,103.81907349,36.56176546
covid19,China,2020.0,3606533.0,122579.0,114.11380454,22.39827737,h1n1,2009.0,11687.0,0.0,114.11380454,22.39827737
covid19,China,2020.0,3606533.0,122579.0,114.11380454,22.39827737,h1n1,2009.0,11687.0,0.0,113.50932116,22.22311688
covid19,China,2020.0,3606533.0,122579.0,113.50932116,22.22311688,h1n1,2009.0,11687.0,0.0,103.81907349,36.56176546
covid19,China,2020.0,3606533.0,122579.0,113.50932116,22.22311688,h1n1,2009.0,11687.0,0.0,114.11380454,22.39827737
covid19,China,2020.0,3606533.0,122579.0,113.50932116,22.22311688,h1n1,2009.0,11687.0,0.0,113.50932116,22.22311688
covid19,"China, Hong Kong SAR",2020.0,5646.0,114.0,,,,,,,,
covid19,"China, Macao SAR",2020.0,638.0,0.0,,,,,,,,
